skill	source	installed_at_utc
acquire-codebase-knowledge	github/awesome-copilot	2026-08-05T21:49:12Z
quality-playbook	github/awesome-copilot	2026-08-05T21:49:12Z
threat-model-analyst	github/awesome-copilot	2026-08-05T21:49:12Z
refactor	github/awesome-copilot	2026-08-05T21:49:12Z
code-review	getsentry/skills	2026-08-05T21:49:12Z
code-simplifier	getsentry/skills	2026-08-05T21:49:12Z
find-bugs	getsentry/skills	2026-08-05T21:49:12Z
security-threat-model	openai/skills	2026-08-05T21:49:12Z
supabase	supabase/agent-skills	2026-08-05T21:49:12Z
supabase-postgres-best-practices	supabase/agent-skills	2026-08-05T21:49:12Z
vercel-react-best-practices	vercel-labs/agent-skills	2026-08-05T21:49:12Z
web-design-guidelines	vercel-labs/agent-skills	2026-08-05T21:49:12Z
api-and-interface-design	addyosmani/agent-skills	2026-08-05T21:49:12Z
source-driven-development	addyosmani/agent-skills	2026-08-05T21:49:12Z
security-and-hardening	addyosmani/agent-skills	2026-08-05T21:49:12Z
test-driven-development	addyosmani/agent-skills	2026-08-05T21:49:12Z
code-review-and-quality	addyosmani/agent-skills	2026-08-05T21:49:12Z
debugging-and-error-recovery	addyosmani/agent-skills	2026-08-05T21:49:12Z
incremental-implementation	addyosmani/agent-skills	2026-08-05T21:49:12Z
doubt-driven-development	addyosmani/agent-skills	2026-08-05T21:49:12Z
performance-optimization	addyosmani/agent-skills	2026-08-05T21:49:12Z
ci-cd-and-automation	addyosmani/agent-skills	2026-08-05T21:49:12Z
observability-and-instrumentation	addyosmani/agent-skills	2026-08-05T21:49:12Z
documentation-and-adrs	addyosmani/agent-skills	2026-08-05T21:49:12Z
api-design-principles	wshobson/agents	2026-08-05T21:49:12Z
openapi-spec-generation	wshobson/agents	2026-08-05T21:49:12Z
auth-implementation-patterns	wshobson/agents	2026-08-05T21:49:12Z
error-handling-patterns	wshobson/agents	2026-08-05T21:49:12Z
e2e-testing-patterns	wshobson/agents	2026-08-05T21:49:12Z
secrets-management	wshobson/agents	2026-08-05T21:49:12Z
sast-configuration	wshobson/agents	2026-08-05T21:49:12Z
deployment-pipeline-design	wshobson/agents	2026-08-05T21:49:12Z
nextjs-app-router-patterns	wshobson/agents	2026-08-05T21:49:12Z
nodejs-backend-patterns	wshobson/agents	2026-08-05T21:49:12Z
sql-optimization-patterns	wshobson/agents	2026-08-05T21:49:12Z
